Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
STLG,53,0,0.00,0,0.00,31.68,53,0
VWID,51,0,0.00,0,0.00,25.47,51,0
SEIV,50,0,0.00,0,0.00,25.04,50,0
SHDG,47,0,0.00,0,0.00,21.86,47,0
XJUN,47,0,0.00,0,0.00,31.57,47,0
DKRB,46,0,0.00,0,0.00,26.62,46,0
QSPT,44,0,0.00,0,0.00,18.03,44,0
DBJA,40,0,0.00,0,0.00,26.19,40,0
SPYI,40,0,0.00,0,0.00,47.28,40,0
BKGI,39,0,0.00,0,0.00,28.03,39,0
GCLN,35,0,0.00,0,0.00,37.76,35,0
SFIG,33,0,0.00,0,0.00,46.82,33,0
EAOM,30,0,0.00,0,0.00,24.83,30,0
MBND,26,0,0.00,0,0.00,26.77,26,0
PXUS,25,0,0.00,0,0.00,21.84,25,0
RVRB,24,0,0.00,0,0.00,20.86,24,0
KNGS,21,0,0.00,0,0.00,18.90,21,0
PUNK,19,0,0.00,0,0.00,17.61,19,0
IVRA,18,0,0.00,0,0.00,13.82,17,1
NULC,18,0,0.00,0,0.00,33.37,18,0
BUYZ,17,0,0.00,0,0.00,23.37,17,0
DFNV,15,0,0.00,0,0.00,22.86,15,0
BOSS,14,0,0.00,0,0.00,24.56,14,0
IPDP,14,0,0.00,0,0.00,14.44,14,0
ADFI,13,0,0.00,0,0.00,8.33,13,0
